source,target,rho,p_value,n,q_value,fdr_significant
E11,V10,0.33714003357758987,0.001604031117922635,85,0.013519685562283518,True
S12,V15,0.33893873087181026,0.0016116687308710862,84,0.013519685562283518,True
S06,V09,0.3366052894113558,0.0016335190199616323,85,0.013588750826455309,True
V10,V11,0.33850997249006676,0.0016352564553869947,84,0.013588750826455309,True
T10,T11,0.32896729048756146,0.00164561029866877,89,0.013610888918895902,True
S02,S03,0.33212413314320655,0.0016736222459343966,87,0.013778192443273869,True
S01,S09,0.33554370414479184,0.0016935145385825801,85,0.013817842797651433,True
T13,V07,0.33937767742001723,0.0016969990615510252,83,0.013817842797651433,True
V08,V09,0.33539876046630973,0.001701858604456504,85,0.013817842797651433,True
E07,V12,0.3369223764824932,0.0017253358091587638,84,0.013939465209257451,True
V05,V10,0.33475730115534413,0.001739233345027692,85,0.013939465209257451,True
S03,V11,0.336663115148906,0.0017404643001389247,84,0.013939465209257451,True
E05,E10,0.33457002846974887,0.0017502836860118867,85,0.013954964523608285,True
S11,S14,0.3359828531298499,0.001780729936319853,84,0.014134044786036502,True
T03,E04,-0.33296361123039614,0.0018477079310467584,85,0.01460019213371769,True
V04,V12,0.334698753688958,0.0018590352112645354,84,0.014624410328614345,True
T13,V08,0.3363950186951812,0.0018748141315402262,83,0.014628592560599762,True
S13,V12,0.33435247894470094,0.0018806761344418595,84,0.014628592560599762,True
E10,S13,0.3286456906046157,0.0018843610756026812,87,0.014628592560599762,True
S14,V06,0.3399958758761178,0.0018997389281472043,81,0.014683571628037344,True
E11,V02,0.3319150109683812,0.0019139133762399137,85,0.014728811634541945,True
S07,V07,0.3334564211141613,0.0019377346715905403,84,0.014847577353745698,True
E01,E02,-0.32767885072110375,0.0019470419453294582,87,0.014854587255315263,True
E15,V14,0.3311365732329813,0.0019644365126393597,85,0.014922972649663805,True
S04,V15,0.33040844313580214,0.0020127791291759383,85,0.015152374643618263,True
V03,V05,0.3283885139809677,0.002022735890361212,86,0.015152374643618263,True
S06,S15,0.3283333096442962,0.002026479534177993,86,0.015152374643618263,True
V04,V14,0.3301134385970497,0.0020326684926611984,85,0.015152374643618263,True
V02,V10,0.33194623490401315,0.0020374379464300264,84,0.015152374643618263,True
S10,V04,0.3334982578842387,0.002063408420605421,83,0.015281309223730522,True
E01,E09,0.327605076299488,0.002076451893334219,86,0.015292504619245795,True
E11,V15,0.3292587882187317,0.002091292776435923,85,0.015292504619245795,True
T15,S15,0.32914197271905266,0.0020994228392440533,85,0.015292504619245795,True
S14,V03,0.33287899463994386,0.002105876191155923,83,0.015292504619245795,True
S13,V15,0.32901746928045916,0.002108119280845183,85,0.015292504619245795,True
V05,V13,0.32867067994905386,0.0021325134085234828,85,0.015406321359536998,True
S12,S15,0.3284578946743308,0.0021476068120266584,85,0.015452292915801566,True
V06,V13,0.329949728802849,0.0021763333788712403,84,0.015583118752962654,True
S01,S12,0.3279586528305435,0.0021833974297936374,85,0.015583118752962654,True
E12,S13,0.3239275357319876,0.002208431495122352,87,0.015606451802919533,True
T12,S14,0.33139477967420716,0.0022108796379675037,83,0.015606451802919533,True
V03,V06,0.329200209644266,0.002230637837798524,84,0.015606451802919533,True
V04,V11,0.3290836358517426,0.0022391925311289005,84,0.015606451802919533,True
S14,V05,0.33097039856744,0.002241756705377357,83,0.015606451802919533,True
E11,V08,0.3271267878791411,0.0022442274977661028,85,0.015606451802919533,True
V05,V14,0.327047762860389,0.002250084749136769,85,0.015606451802919533,True
E09,S02,0.32509649993753814,0.0022572043285578533,86,0.015606451802919533,True
V01,V04,0.32637927359609753,0.0023001852581371256,85,0.01584174282841522,True
E07,E11,0.321424177734974,0.0024000148828511375,87,0.01642113333357257,True
T13,V10,0.32883781770915865,0.0024028664030481895,83,0.01642113333357257,True
V06,V11,0.3282012099568796,0.0024529357825821495,83,0.016698832058347712,True
E01,E05,0.32422485280521623,0.0024685485664311855,85,0.01674073165740689,True
V11,V12,0.32764415376266737,0.0024975147912919896,83,0.016808405738739412,True
S06,S11,0.32021839632886395,0.0024975201747392457,87,0.016808405738739412,True
S07,V06,0.3260205114730689,0.002631627306277137,83,0.017643864894358076,True
S15,V04,0.3219495197793219,0.002658303936961766,85,0.01775546403178236,True
E11,E14,0.31790277582825155,0.0026948085159532007,87,0.01793162057607957,True
V08,V11,0.32322541726692366,0.002709007497803277,84,0.017958589030381274,True
S11,S12,0.31937741233757905,0.002723257884232111,86,0.017985695727950883,True
V03,V09,0.32078992699899544,0.0027599583975095967,85,0.018130774890781097,True
S02,S13,0.3171076451454187,0.0027657114240174554,87,0.018130774890781097,True
S03,S15,0.3187736653764935,0.0027771791048133146,86,0.01813877127497995,True
E15,V12,0.321956495925061,0.0028217376732130573,84,0.01836204294701144,True
E05,V07,0.32307251171881435,0.0028917371424086805,83,0.018748625428803532,True
E08,V02,0.3229155186869585,0.0029062136294496295,83,0.018773715781481185,True
E10,S09,0.318827771373582,0.0029399309633282543,85,0.01892246474578549,True
T11,S13,0.31869147864127567,0.00295281398806593,85,0.01893652448868368,True
E07,E09,0.31654689870193387,0.002984429600323219,86,0.019013866258105087,True
E15,S15,0.31636212590975615,0.003002234111869462,86,0.019013866258105087,True
V09,V12,0.3199609765194093,0.0030075381194481867,84,0.019013866258105087,True
V14,V15,0.3181152420536825,0.0030078432498697313,85,0.019013866258105087,True
S06,V02,0.3174968346242735,0.0030679197857287474,85,0.019324619290889262,True
T11,V13,0.32010984355489003,0.0031761085358847463,83,0.01993514932097873,True
E10,E14,0.31156352345637156,0.003308399712234865,87,0.020692111274401806,True
T14,E03,-0.31311952353546785,0.0033305645955640944,86,0.02075739202164946,True
T03,E11,0.31477762668620196,0.0033450267861250657,85,0.020774376882250405,True
V03,V08,0.3143841992559993,0.003386920610492239,85,0.020961012169829592,True
E01,S07,0.3111665697130436,0.003543466215921261,86,0.021853432760211258,True
T03,V09,0.3165034522208454,0.0035558527962839376,83,0.021853678643828367,True
S06,S07,0.31042946111643815,0.003626930271737888,86,0.02221337917292755,True
S12,V07,0.31363206461593574,0.003671430612452639,84,0.02233011229364231,True
S05,V13,0.3117425029611914,0.0036805745104418254,85,0.02233011229364231,True
