respondent,degree,strength,betweenness,closeness,eigenvector,clustering,intensity,distance_to_class_mean,n_answered,T_mean,E_mean,S_mean,V_mean
65,11,2.5262565600844393,0.012038303693570451,0.6412661888694031,0.0771738605265698,0.06770884462078562,0.85,7.049835988995833,60.0,0.8,0.9333333333333333,0.7333333333333333,0.9333333333333333
66,10,2.6405778139703298,0.012038303693570451,0.6305268767335909,0.11696012038740095,0.09310884092030937,1.3333333333333333,5.4287026370506215,60.0,1.2,1.0,1.5333333333333334,1.6
67,11,2.6803931864579806,0.006839945280437756,0.6192860064248477,0.11063719007939908,0.12881464955428293,1.4666666666666666,4.431776062186521,60.0,1.1333333333333333,1.3333333333333333,1.7333333333333334,1.6666666666666667
69,9,1.8987727267261085,0.006019151846785226,0.6232651149178556,0.052023728727810255,0.0529365680109831,1.1016949152542372,5.7848118839959115,59.0,0.7857142857142857,1.1333333333333333,1.0666666666666667,1.4
70,10,2.324520867401435,0.015321477428180574,0.638481241120728,0.07199749833206828,0.05847079142205625,1.1166666666666667,4.6013103801009,60.0,0.8,1.0666666666666667,1.6,1.0
72,10,2.9590055082636755,0.013953488372093023,0.6520324319479976,0.12290556241135597,0.1378177288028986,1.2,6.381367179048192,60.0,0.6666666666666666,1.2,1.5333333333333334,1.4
74,9,2.252741310506809,0.008481532147742818,0.6261071091456814,0.10141540278270468,0.09711122406422718,1.3333333333333333,6.875983376632498,60.0,1.2666666666666666,1.0666666666666667,1.5333333333333334,1.4666666666666666
79,12,3.3195805807456824,0.018057455540355677,0.6493189126672614,0.08303809202899633,0.10376007648900751,0.9111111111111111,5.514204695918431,45.0,1.0,0.7333333333333333,1.0,
80,9,2.373539715620785,0.015868673050615595,0.6398939758201502,0.08174420503327169,0.08002667774972136,1.15,5.817540837577427,60.0,0.9333333333333333,0.7333333333333333,1.7333333333333334,1.2
81,12,3.5393340397818873,0.019425444596443228,0.6636569680831522,0.19284784728593424,0.16588770018314702,1.5263157894736843,5.177359543687067,57.0,1.2142857142857142,0.9230769230769231,1.9333333333333333,1.9333333333333333
82,11,3.0629868697823817,0.018604651162790697,0.6405796712716105,0.0808470799274378,0.10995489237081864,1.3166666666666667,6.385883927897576,60.0,1.0,0.7333333333333333,1.5333333333333334,2.0
83,9,2.7255811531623215,0.007113543091655267,0.6203401985666819,0.12211709458734281,0.2041052781098292,1.4666666666666666,5.357004425924776,60.0,1.4666666666666666,0.9333333333333333,1.7333333333333334,1.7333333333333334
84,9,1.9635290776442318,0.007934336525307797,0.621291325236737,0.066843186298204,0.0618036707467032,1.0338983050847457,8.4614502171931,59.0,0.5,0.8666666666666667,0.7333333333333333,2.0
85,9,2.2433656968671833,0.008207934336525308,0.6147316415745943,0.07102939858415629,0.10672060608989518,0.75,8.866704625273147,60.0,0.4,0.26666666666666666,1.0666666666666667,1.2666666666666666
86,10,3.2148837058787554,0.012585499316005472,0.6577511576861955,0.19253009903886228,0.21464003205322885,1.3333333333333333,7.168481929406974,60.0,1.0,0.9333333333333333,1.6666666666666667,1.7333333333333334
89,10,2.2050686413447784,0.007113543091655267,0.6109047475271341,0.05947527111803005,0.09045689627196932,0.8166666666666667,8.936632690274717,60.0,0.5333333333333333,0.8,0.4666666666666667,1.4666666666666666
90,16,4.875207383246049,0.047058823529411764,0.7161346183557806,0.2093962606404263,0.10201619825070392,0.9166666666666666,4.593568147036295,60.0,0.6,1.0666666666666667,1.0,1.0
91,12,3.4753436600163226,0.02243502051983584,0.6430605597528615,0.09138083795625652,0.14490087421928516,0.8333333333333334,4.185442118801164,60.0,0.6666666666666666,0.7333333333333333,0.9333333333333333,1.0
92,10,2.593395416927231,0.013953488372093023,0.6326634235580102,0.08710569690238301,0.13305255892708148,1.2678571428571428,5.5300238698446424,56.0,0.6153846153846154,1.0769230769230769,1.4666666666666666,1.8
93,13,3.2498996201570716,0.023529411764705882,0.6653371750484889,0.12061066465908994,0.06266176863965107,0.6724137931034483,6.953663787043476,58.0,0.8666666666666667,-0.06666666666666667,1.1538461538461537,0.8
94,11,3.4099554598954063,0.016963064295485636,0.6713490712225261,0.1620530814321633,0.15704114055778678,1.75,6.328759208301512,60.0,1.4666666666666666,1.5333333333333334,2.0,2.0
