node,intensity,n_answered,distance_to_class_mean,T_mean,T_answered,technology_mean,E_mean,E_answered,education_mean,S_mean,S_answered,ethics_society_mean,V_mean,V_answered,environment_mean,degree,strength,x,y
93,0.6724137931034483,58.0,6.953663787043476,0.8666666666666667,15.0,0.8666666666666667,-0.06666666666666667,15.0,-0.06666666666666667,1.1538461538461537,13.0,1.1538461538461537,0.8,15.0,0.8,13,3.249899620157071,-0.4758082359824436,0.06235815809397
94,1.75,60.0,6.328759208301512,1.4666666666666666,15.0,1.4666666666666666,1.5333333333333334,15.0,1.5333333333333334,2.0,15.0,2.0,2.0,15.0,2.0,11,3.409955459895406,0.20823417777953532,0.1676229503302279
95,1.396551724137931,58.0,5.639785276277275,1.2666666666666666,15.0,1.2666666666666666,0.8571428571428571,14.0,0.8571428571428571,1.7333333333333334,15.0,1.7333333333333334,1.7142857142857142,14.0,1.7142857142857142,15,4.410652271240179,-0.6062272580739526,0.3483702341089869
97,1.45,60.0,5.739145258831552,1.4666666666666666,15.0,1.4666666666666666,0.9333333333333333,15.0,0.9333333333333333,1.6,15.0,1.6,1.8,15.0,1.8,12,2.7890325224373007,-0.1348702073671878,0.8140846175555708
99,1.0666666666666667,60.0,3.6831005753242136,0.9333333333333333,15.0,0.9333333333333333,0.9333333333333333,15.0,0.9333333333333333,1.2,15.0,1.2,1.2,15.0,1.2,9,2.175861144538572,-0.8173985852319985,-0.40410700995724796
101,1.35,60.0,5.404448940144119,1.4666666666666666,15.0,1.4666666666666666,1.4666666666666666,15.0,1.4666666666666666,1.3333333333333333,15.0,1.3333333333333333,1.1333333333333333,15.0,1.1333333333333333,13,3.219989580140954,0.1751586028573122,-0.6429357800394574
102,1.0344827586206897,58.0,5.171015859667728,1.1428571428571428,14.0,1.1428571428571428,0.6666666666666666,15.0,0.6666666666666666,1.1428571428571428,14.0,1.1428571428571428,1.2,15.0,1.2,11,3.1513316584772886,-0.030086384958797743,-0.04197040761944767
103,1.0344827586206897,58.0,5.67848736091043,1.1333333333333333,15.0,1.1333333333333333,0.7857142857142857,14.0,0.7857142857142857,0.8571428571428571,14.0,0.8571428571428571,1.3333333333333333,15.0,1.3333333333333333,9,1.9432314226120935,-0.17107704092569634,-0.0533576459149768
104,1.3666666666666667,60.0,5.396458443884207,1.0,15.0,1.0,1.0,15.0,1.0,1.6,15.0,1.6,1.8666666666666667,15.0,1.8666666666666667,15,4.585200829625333,0.03558684614998801,0.6580721541464681
105,1.6166666666666667,60.0,5.740910718669081,1.2666666666666666,15.0,1.2666666666666666,1.5333333333333334,15.0,1.5333333333333334,1.8,15.0,1.8,1.8666666666666667,15.0,1.8666666666666667,10,2.9275380359339427,0.2643873737464119,-0.09303128811624468
106,1.0,60.0,5.907829164751126,0.5333333333333333,15.0,0.5333333333333333,0.9333333333333333,15.0,0.9333333333333333,1.2,15.0,1.2,1.3333333333333333,15.0,1.3333333333333333,10,2.403311100476914,0.6867299687585335,-0.3912507443342952
108,1.6166666666666667,60.0,6.4249897390219095,1.1333333333333333,15.0,1.1333333333333333,1.4666666666666666,15.0,1.4666666666666666,1.8666666666666667,15.0,1.8666666666666667,2.0,15.0,2.0,12,3.3173412692985518,0.33820170036946257,-0.6503731481941681
109,1.05,60.0,6.084479226674665,0.8666666666666667,15.0,0.8666666666666667,1.0666666666666667,15.0,1.0666666666666667,1.4,15.0,1.4,0.8666666666666667,15.0,0.8666666666666667,9,1.8510084429958837,0.035431892863765434,-0.5135887837858791
110,1.6833333333333333,60.0,6.048838559945033,1.2,15.0,1.2,1.5333333333333334,15.0,1.5333333333333334,2.0,15.0,2.0,2.0,15.0,2.0,16,5.028388874741496,0.0005840046219596417,0.3818009034124917
111,1.0166666666666666,60.0,6.345718694812302,1.2666666666666666,15.0,1.2666666666666666,0.13333333333333333,15.0,0.13333333333333333,1.6666666666666667,15.0,1.6666666666666667,1.0,15.0,1.0,11,3.039079369750618,-0.15815341739944067,-0.6201224337201613
113,0.8833333333333333,60.0,6.325233401226349,1.0,15.0,1.0,0.9333333333333333,15.0,0.9333333333333333,0.8,15.0,0.8,0.8,15.0,0.8,10,2.7398194302899306,0.8544244462823516,0.08627444934504287
114,1.5333333333333334,60.0,5.098037130883088,1.4666666666666666,15.0,1.4666666666666666,1.0666666666666667,15.0,1.0666666666666667,1.6666666666666667,15.0,1.6666666666666667,1.9333333333333333,15.0,1.9333333333333333,12,3.5386526033204193,-0.5746158710943552,0.5742561420253376
115,0.85,60.0,6.551186671491528,0.6,15.0,0.6,1.0,15.0,1.0,0.8,15.0,0.8,1.0,15.0,1.0,9,1.9018889295028671,0.7835379328655881,-0.35224896976487324
116,1.3666666666666667,60.0,7.037953432310134,1.6666666666666667,15.0,1.6666666666666667,1.3333333333333333,15.0,1.3333333333333333,1.2666666666666666,15.0,1.2666666666666666,1.2,15.0,1.2,9,2.123116146431432,0.6199477044371442,-0.028209847059599762
117,0.7,60.0,7.6236134154691735,0.6666666666666666,15.0,0.6666666666666666,0.5333333333333333,15.0,0.5333333333333333,0.5333333333333333,15.0,0.5333333333333333,1.0666666666666667,15.0,1.0666666666666667,9,1.9991239116902428,0.32728843138797986,0.36446749577003823
118,1.11864406779661,59.0,4.684849965069553,1.0,15.0,1.0,0.9333333333333333,15.0,0.9333333333333333,1.0714285714285714,14.0,1.0714285714285714,1.4666666666666666,15.0,1.4666666666666666,11,2.401786198519592,0.23190419776617957,0.05234498309641583
119,0.26666666666666666,60.0,9.31877828286923,0.8,15.0,0.8,0.0,15.0,0.0,0.06666666666666667,15.0,0.06666666666666667,0.2,15.0,0.2,9,2.78746648942026,0.2544387638510116,-0.9999999999999999
120,-0.21428571428571427,56.0,14.886697650636123,-0.4,15.0,-0.4,-0.14285714285714285,14.0,-0.14285714285714285,0.0,14.0,0.0,-0.3076923076923077,13.0,-0.3076923076923077,9,1.8978070424930193,0.5435356504374617,-0.5497951927835756
121,0.9833333333333333,60.0,7.283987602397525,0.8666666666666667,15.0,0.8666666666666667,0.9333333333333333,15.0,0.9333333333333333,1.1333333333333333,15.0,1.1333333333333333,1.0,15.0,1.0,10,2.779224982090025,0.750165195580209,0.21028390976197017
123,0.64,50.0,6.702893462466714,0.5333333333333333,15.0,0.5333333333333333,1.0,15.0,1.0,0.5333333333333333,15.0,0.5333333333333333,0.2,5.0,0.2,11,2.895515185648909,0.29895741917157326,-0.7665898025955994
125,0.7321428571428571,56.0,10.582442971429746,1.2,15.0,1.2,0.3333333333333333,15.0,0.3333333333333333,0.8333333333333334,12.0,0.8333333333333334,0.5714285714285714,14.0,0.5714285714285714,9,1.8230498352402074,-0.21136595798180552,-0.9476382336486742
126,1.0333333333333334,60.0,4.8375713061603305,1.1333333333333333,15.0,1.1333333333333333,0.7333333333333333,15.0,0.7333333333333333,1.0,15.0,1.0,1.2666666666666666,15.0,1.2666666666666666,11,2.7004954791517988,0.521433435935955,-0.40095410309819823
