source,target,rho,abs_rho
T05,E09,-0.15939087703976393,0.15939087703976393
E10,V03,0.15908169899459804,0.15908169899459804
T10,S06,0.15870083476910404,0.15870083476910404
T09,T10,-0.158623056197834,0.158623056197834
T08,S12,0.1584794393040256,0.1584794393040256
T04,S08,-0.15838592757485095,0.15838592757485095
E05,S12,0.15835829394428072,0.15835829394428072
T05,V15,0.15832617156216636,0.15832617156216636
E08,V15,0.15828495846579052,0.15828495846579052
T06,V11,0.1581192773788231,0.1581192773788231
S05,S11,0.15768733282267275,0.15768733282267275
S13,V05,0.15720838408971718,0.15720838408971718
S05,V11,0.15720253756140998,0.15720253756140998
E09,S09,0.15693645880559529,0.15693645880559529
S04,V14,0.1567834421924487,0.1567834421924487
T04,S12,0.15672147842183418,0.15672147842183418
E15,S04,0.15665004369237884,0.15665004369237884
T05,V10,0.1564149466400466,0.1564149466400466
E08,V08,0.156397124661767,0.156397124661767
T11,V14,0.1558258317210142,0.1558258317210142
T03,E01,-0.1557096592334318,0.1557096592334318
E09,V02,-0.15564896026881633,0.15564896026881633
T02,V08,0.15552924635058904,0.15552924635058904
T03,T09,0.1554202757393107,0.1554202757393107
T15,E08,0.1552469248589539,0.1552469248589539
S08,S11,0.15501078591520484,0.15501078591520484
E10,S02,0.15495022099872288,0.15495022099872288
E02,S14,-0.15433972937519105,0.15433972937519105
E02,S06,-0.15426931755984513,0.15426931755984513
E07,V01,0.15394905997875022,0.15394905997875022
T08,E12,0.15343413119942861,0.15343413119942861
T10,V04,0.1531768280393848,0.1531768280393848
T08,S10,0.15297541067105805,0.15297541067105805
T11,E13,0.15292665572460168,0.15292665572460168
T13,V09,0.15282868431884536,0.15282868431884536
E09,V10,0.1527358628939276,0.1527358628939276
T15,V04,0.15255033155186562,0.15255033155186562
T11,T13,0.15254336607913171,0.15254336607913171
T13,V05,0.1523958129928354,0.1523958129928354
T09,S11,0.15223400083490285,0.15223400083490285
T02,V03,0.15181202933701177,0.15181202933701177
T03,V08,0.15127908743387064,0.15127908743387064
S10,V05,0.15108040425773442,0.15108040425773442
E15,S12,0.1510214162812611,0.1510214162812611
E07,V05,0.15089347851113125,0.15089347851113125
T03,E07,0.15070403482088224,0.15070403482088224
T03,E14,0.15068845408967985,0.15068845408967985
T10,V02,0.1501811920961294,0.1501811920961294
E05,S10,0.1500288954779248,0.1500288954779248
T09,E06,0.14991447593969237,0.14991447593969237
T10,S04,0.14986136527250143,0.14986136527250143
E14,V08,0.14950862889881725,0.14950862889881725
T02,S07,0.14947614668926007,0.14947614668926007
T05,V02,0.14923219605064392,0.14923219605064392
T04,T10,0.14922106804477003,0.14922106804477003
