respondent,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
22,-1.0,2.0,0.0,2.0,0.0,2.0,-2.0,-1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-1.0,0.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
24,1.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,,2.0,0.0,0.0,-1.0,2.0,2.0,0.0,-1.0,-2.0,2.0,-2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,-1.0,2.0,2.0,1.0
26,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,-2.0,2.0,0.0,1.0,2.0,-1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-1.0,2.0,2.0,-2.0,1.0,2.0,2.0,2.0,1.0,2.0,-1.0,2.0,0.0,2.0,2.0,2.0
29,0.0,-2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,-2.0,2.0,2.0,2.0,0.0,2.0,-1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31,1.0,0.0,0.0,2.0,2.0,1.0,-1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
32,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,-2.0,-1.0,2.0,1.0,0.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
35,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,-2.0,-2.0,-1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
36,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,2.0,2.0,-1.0,1.0,1.0,-2.0,-1.0,0.0,0.0,2.0,-1.0,1.0,2.0,1.0,-1.0,2.0,2.0,2.0,-2.0,0.0,0.0,2.0,-2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,2.0,2.0,2.0
37,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,-1.0,-1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38,1.0,1.0,0.0,1.0,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,-2.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
40,1.0,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
41,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-2.0,-1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
42,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,-1.0,-1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
43,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,-2.0,-1.0,1.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
45,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,-2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0
46,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
48,1.0,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,0.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
49,0.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,-1.0,-2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
50,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-2.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
52,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,-1.0,-1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0
53,-2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,-1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,-2.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
54,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
55,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
56,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,-1.0,2.0,1.0,0.0,0.0,-2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0
57,-2.0,-2.0,2.0,1.0,-1.0,1.0,1.0,-2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,-1.0,-2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
58,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,-1.0,0.0,-1.0,2.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,-2.0,2.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,0.0,-2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
59,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0,2.0,1.0,-2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
61,-2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-2.0,-2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
62,1.0,-1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,-1.0,0.0,1.0,-1.0,2.0,2.0,-2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0
63,2.0,0.0,2.0,0.0,1.0,2.0,0.0,-2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
64,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,-1.0,-1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
65,0.0,1.0,2.0,2.0,-1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,0.0,-1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
66,1.0,-1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,-2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
67,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
69,1.0,2.0,1.0,2.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0
70,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
74,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.0,0.0,2.0,2.0,0.0,1.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
79,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
80,1.0,2.0,1.0,1.0,0.0,2.0,2.0,-2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,-1.0,1.0,-2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
81,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-1.0,0.0,2.0,2.0,1.0,,2.0,1.0,1.0,-1.0,-2.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
82,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
83,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,-2.0,-1.0,2.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
84,-2.0,1.0,,1.0,-1.0,2.0,-2.0,-1.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,-2.0,1.0,1.0,1.0,2.0,2.0,-1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
85,0.0,0.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,2.0,2.0,-1.0,-2.0,2.0,1.0,0.0,1.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,-1.0,2.0,0.0,2.0,-1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,-1.0,-1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
